Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Reynaldo López","- - -",31.474301427602768,-7.268398009240627,,-0.022769402712583542,-6.325515378266573,,,0.6070260641774883,-0.30096886166627856,,-0.0038203695826482453,-0.7897022944153025,,,"Reynaldo Lopez",16400,625643
"Ryan Yarbrough","- - -",13.844768688082695,17.0727029889822,-8.49320900440216,,-3.08343368768692,,,0.49729772586503934,0.7889419126147043,-0.2620551991484777,,-0.12338670218835215,,,"Ryan Yarbrough",16502,642232
"Jordan Montgomery","- - -",-3.6118949949741364,0.6021839380264282,-6.832692442461848,7.6445940136909485,7.328542172908783,,,-0.06864110594781711,1.7205255372183665,-1.2491211046548167,0.2893487514644568,0.2958636323338225,,,"Jordan Montgomery",16511,656756
"Austin Gomber","- - -",-68.61505579948425,6.692953824996948,,-14.339960053563118,8.664046496152878,-0.9512513279914856,,-1.616373517066767,0.3172016030804241,,-0.7293977646776764,0.4680738247516411,-2.1619348363442854,,"Austin Gomber",16561,596295
"Bryan Abreu","HOU",4.492052897810936,41.2315531373024,,1.6443119645118713,-0.8754572570323944,,,0.17553938639354968,1.6093502395512254,,0.33489042047084955,-5.149748570778791,,,"Bryan Abreu",16609,650556
"Tim Hill","- - -",20.12911067903042,-1.2584246210753918,-5.28875308483839,,-0.0926673635840416,,,0.43121488172730116,-0.23743860775007394,-6.079026534297,,-9.26673635840416,,,"Tim Hill",16814,657612
"Luke Weaver","- - -",-11.054461628198624,-3.5894074141979218,1.3068416565656662,-4.39438534528017,-4.0203491151332855,,,-0.24680646635853146,-4.3773261148755145,0.10379997272165736,-0.8450741048615712,-0.18341008736921924,,,"Luke Weaver",16918,596133
"Trevor Williams","- - -",-1.4362319111824036,-33.99172446131706,,-5.333495158702135,-32.62031692266464,,,-0.021452306365681906,-1.2807733406675608,,-1.0974269873872706,-2.0567665146699015,,,"Trevor Williams",16977,592866
"Pablo López","- - -",47.549986839294434,5.579951763153076,-3.216050088405609,-3.973039537668228,1.6456376314163208,,,0.6730359071379255,0.3570026719867611,-0.558342029237085,-0.2470795732380739,0.04405990981034326,,,"Pablo Lopez",17085,641154
"Raisel Iglesias","- - -",35.4309196472168,12.997853681445122,,,30.332752466201782,,,1.1247910999116444,0.8824069030173199,,,1.8152455096470246,,,"Raisel Iglesias",17130,628452
"Domingo Germán","- - -",-32.48958361148834,,,22.631150126457214,17.963920146226883,,,-1.1130381504449587,,,0.8868005535445617,1.2304054894675949,,,"Domingo German",17149,593334
"Jalen Beeks","- - -",-6.377875193953514,-1.2803195267915726,0.057665616273880005,-3.9199492894113064,12.203478664159775,,,-0.22253577089858737,-4.572569738541331,0.010942242177206832,-1.06231688059927,0.558256114554427,,,"Jalen Beeks",17192,656222
"Ranger Suarez","PHI",38.430706441402435,-4.314589232206345,-4.127682089805603,16.174071311950684,-6.454932451248169,,,0.6108839046479484,-0.6936638636987692,-0.3773018363624866,1.1108565461504591,-0.27132965326810293,,,"Ranger Suarez",17277,624133
"Michael Kopech","- - -",15.734228372573853,-15.093846380710602,0.6840657591819763,2.65262234210968,-1.5022245682775974,,,0.3448220112332644,-0.9248680380337378,0.4653508565863784,0.680159574899918,-0.6365358340159311,,,"Michael Kopech",17282,656629
"Framber Valdez","HOU",38.00341847538948,,8.731664910912514,50.02798868715763,8.242185778915882,,,0.47179911204704506,,0.9799848384862528,1.055442799307123,0.3949298408680346,,,"Framber Valdez",17295,664285
