"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rodríguez, Endy",682848,"PIT","FF","4-Seam Fastball",0.4,1,"256",33,"68","0.271","0.407","0.347",21.6,23.5,19.8,"0.247","0.46","0.351",41.9
"Rogers, Jake",668670,"DET","SL","Slider",-0.2,-1,"298",21,"67","0.234","0.422","0.298",37.7,43.3,30.2,"0.184","0.292","0.225",37.1
"Massey, Michael",686681,"KC","SL","Slider",-2.3,-6,"253",13.7,"67","0.182","0.303","0.204",30.1,28.4,21.6,"0.221","0.322","0.238",37.5
"Madrigal, Nick",663611,"CHC","SI","Sinker",-0.6,-1,"249",23.4,"67","0.323","0.387","0.342",5.8,9,12,"0.301","0.365","0.322",39.3
"Wade Jr., LaMonte",664774,"SF","CH","Changeup",-0.4,-1,"307",14.6,"67","0.138","0.155","0.207",32.7,28.4,22.4,"0.157","0.21","0.231",23.1
"Freeman, Freddie",518692,"LAD","CU","Curveball",1.4,4,"281",10.2,"67","0.254","0.441","0.344",18,20.9,16.1,"0.223","0.365","0.303",33.3
"Smith, Dominic",642086,"WSH","CH","Changeup",0.1,0,"254",11.5,"67","0.297","0.328","0.297",28.9,11.9,9.8,"0.278","0.343","0.292",21.4
"Pérez, Carlos",542208,"ATH","FF","4-Seam Fastball",-1.1,-3,"255",34.6,"67","0.19","0.328","0.301",15.3,13.4,13.4,"0.23","0.384","0.31",32
"Melendez, MJ",669004,"KC","SI","Sinker",1.5,4,"257",10.5,"67","0.311","0.508","0.396",23.9,16.4,17.7,"0.288","0.563","0.388",58
"Harris II, Michael",671739,"ATL","SL","Slider",2.5,6,"252",12.9,"67","0.328","0.594","0.406",31.9,20.9,15.6,"0.315","0.588","0.395",44
"Rendon, Anthony",543685,"LAA","FF","4-Seam Fastball",0.4,1,"269",35.3,"67","0.273","0.4","0.367",14.5,11.9,10.1,"0.323","0.537","0.43",56.3
