Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Chase Anderson","MIL",0.22093023255813954,0.705882352,0.18079096,0.33898305,0.480225988,0.117647058,0.070588235,387,670,1057,0.38764045,0.37640449,0.23595506,0.19662921,0.50561798,0.29775281,"Chase Anderson",6895,502624
"Hyun Jin Ryu","LAD",0.224,2.09090909,0.203125,0.5390625,0.2578125,0.06060606,0.181818181,221,468,689,0.34351145,0.3740458,0.28244275,0.16793893,0.53435115,0.29770992,"Hyun Jin Ryu",14444,547943
"Brett Anderson","OAK",0.22580645161290322,3.586206896,0.130718954,0.679738562,0.189542483,0.068965517,0.103448275,250,448,698,0.48734177,0.36075949,0.15189873,0.2278481,0.47468354,0.29746835,"Brett Anderson",8223,474463
"Jeffrey Springs","TEX",0.43243243243243246,0.411764705,0.351351351,0.189189189,0.459459459,0,0,88,139,227,0.10810811,0.43243243,0.45945946,0.16216216,0.54054054,0.2972973,"Jeffrey Springs",17677,605488
"Kyle Freeland","COL",0.36065573770491804,1.285714285,0.238095238,0.428571428,0.333333333,0.047619047,0.142857142,106,239,345,0.34375,0.40625,0.25,0.21875,0.484375,0.296875,"Kyle Freeland",16256,607536
"José Alvarado","TBR",0.25925925925925924,2.333333333,0.166666666,0.583333333,0.25,0,0,73,104,177,0.40740741,0.37037037,0.22222222,0.22222222,0.48148148,0.2962963,"Jose Alvarado",17780,621237
"Dylan Floro","LAD",0.42857142857142855,1.142857142,0.285714285,0.38095238,0.333333333,0,0.142857142,113,176,289,0.34090909,0.22727273,0.43181818,0.09090909,0.61363636,0.29545455,"Dylan Floro",13394,571670
"Patrick Corbin","WSN",0.3157894736842105,1.48,0.184210526,0.486842105,0.328947368,0.08,0.08,228,393,621,0.26923077,0.44871795,0.28205128,0.17948718,0.52564103,0.29487179,"Patrick Corbin",9323,571578
"Marco Estrada","OAK",0.0967741935483871,0.25,0.117647058,0.176470588,0.705882352,0.375,0.125,55,107,162,0.29411765,0.32352941,0.38235294,0.41176471,0.29411765,0.29411765,"Marco Estrada",1118,462136
"Juan Minaya","CHW",0.35294117647058826,0.35,0.205882352,0.205882352,0.588235294,0.15,0,79,123,202,0.32352941,0.38235294,0.29411765,0.17647059,0.52941176,0.29411765,"Juan Minaya",10341,573668
"Emmanuel Clase","TEX",0.2727272727272727,2.375,0.205882352,0.558823529,0.235294117,0,0.125,54,119,173,0.41176471,0.38235294,0.20588235,0.20588235,0.5,0.29411765,"Emmanuel Clase",21032,661403
"Evan Phillips","BAL",0.3870967741935484,1.125,0.433333333,0.3,0.266666666,0.125,0,104,124,228,0.29032258,0.35483871,0.35483871,0.12903226,0.58064516,0.29032258,"Evan Phillips",17734,623465
"Corbin Martin","HOU",0.3103448275862069,1.083333333,0.193548387,0.419354838,0.387096774,0.166666666,0.166666666,88,112,200,0.32258065,0.32258065,0.35483871,0.19354839,0.51612903,0.29032258,"Corbin Martin",19884,656686
"Jacob Barnes","- - -",0.28888888888888886,2.888888888,0.222222222,0.577777777,0.2,0.111111111,0,128,162,290,0.51111111,0.28888889,0.2,0.22222222,0.48888889,0.28888889,"Jacob Barnes",12323,606930
"Gio Gonzalez","MIL",0.17647058823529413,1.5,0.215686274,0.470588235,0.31372549,0.1875,0.0625,115,173,288,0.46153846,0.36538462,0.17307692,0.19230769,0.51923077,0.28846154,"Gio Gonzalez",7448,461829
"Dylan Bundy","BAL",0.30165289256198347,1.141304347,0.215139442,0.418326693,0.366533864,0.086956521,0.130434782,453,856,1309,0.40944882,0.35433071,0.23622047,0.16535433,0.54724409,0.28740157,"Dylan Bundy",12917,605164
"Ian Kennedy","KCR",0.3,0.885714285,0.204819277,0.373493975,0.421686746,0.142857142,0.114285714,197,390,587,0.38095238,0.30952381,0.30952381,0.17857143,0.53571429,0.28571429,"Ian Kennedy",6986,453178
